pickup_zone,dropoff_zone
Upper West Side South,Upper West Side South
LaGuardia Airport,Astoria
Lincoln Square West,Times Sq/Theatre District
Financial District North,Two Bridges/Seward Park
Upper West Side North,Clinton East
East Chelsea,Meatpacking/West Village West
West Chelsea/Hudson Yards,Seaport
UN/Turtle Bay South,Garment District
Clinton East,West Chelsea/Hudson Yards
Garment District,Flatiron
Lenox Hill East,Garment District
TriBeCa/Civic Center,Kips Bay
LaGuardia Airport,Washington Heights South
Times Sq/Theatre District,Battery Park City
Lincoln Square East,Times Sq/Theatre District
West Village,Upper West Side South
Clinton East,Penn Station/Madison Sq West
Midtown North,Union Sq
JFK Airport,Sunnyside
Times Sq/Theatre District,Lenox Hill East
Flatiron,East Chelsea
Penn Station/Madison Sq West,Garment District
Garment District,Yorkville East
Clinton East,Midtown North
Clinton East,Lenox Hill West
Flatiron,Jackson Heights
Upper East Side North,Midtown East
Midtown East,Penn Station/Madison Sq West
Upper East Side North,Upper East Side North
Gramercy,Penn Station/Madison Sq West
Morningside Heights,Morningside Heights
Hudson Sq,Lincoln Square East
Astoria,Astoria
Midtown Center,Little Italy/NoLiTa
Financial District South,Downtown Brooklyn/MetroTech
Midtown North,Times Sq/Theatre District
Bloomingdale,Upper West Side North
Union Sq,Union Sq
Queensboro Hill,Midtown South
Penn Station/Madison Sq West,Upper West Side South
Times Sq/Theatre District,Flatiron
Alphabet City,East Village
JFK Airport,JFK Airport
Clinton East,Midtown Center
East Village,East Village
Lincoln Square West,Lincoln Square East
Kips Bay,Murray Hill
Lincoln Square West,Upper West Side North
Clinton East,Central Park
Union Sq,East Village
Manhattan Valley,East Harlem South
Lenox Hill East,Manhattan Valley
Clinton East,Gramercy
Murray Hill,Upper East Side North
Clinton East,Midtown North
Meatpacking/West Village West,East Village
Upper East Side North,Yorkville West
Midtown Center,Murray Hill
Little Italy/NoLiTa,Greenwich Village North
Upper West Side South,Upper East Side North
Manhattan Valley,Washington Heights South
Upper West Side South,Lincoln Square West
Midtown East,Murray Hill
Midtown South,Steinway
Sutton Place/Turtle Bay North,Midtown South
Penn Station/Madison Sq West,Lincoln Square West
Little Italy/NoLiTa,Stuy Town/Peter Cooper Village
JFK Airport,Sheepshead Bay
Garment District,Murray Hill
Times Sq/Theatre District,Williamsburg (North Side)
Greenwich Village North,Greenwich Village North
West Chelsea/Hudson Yards,Times Sq/Theatre District
Sutton Place/Turtle Bay North,Times Sq/Theatre District
Upper East Side South,Midtown Center
Clinton West,Clinton East
Upper West Side South,Upper West Side North
Gramercy,Midtown Center
Stuyvesant Heights,Crown Heights North
Upper West Side South,Upper West Side North
Lower East Side,Times Sq/Theatre District
Upper East Side South,Lenox Hill East
Garment District,Midtown East
Yorkville West,Yorkville West
Clinton East,Garment District
Little Italy/NoLiTa,Midtown South
Bloomingdale,Lincoln Square East
Times Sq/Theatre District,Midtown North
Garment District,Union Sq
Garment District,Park Slope
Clinton West,Lincoln Square West
JFK Airport,North Corona
Financial District North,TriBeCa/Civic Center
West Chelsea/Hudson Yards,Garment District
Upper East Side South,Upper East Side North
